        551    6      543      8
        651    4      842      9
        832   17      905     23
        375    9      542      9
        715   14      522      6
        868    8      122      1
        271    5      657      9
        630    7      170      4
        491    7      738      9
        372    7      371     14
        645    6      735     17
        441    8      749     10
        895   28      495      7
        458    4      716      3
        642   10      952      9
        492    4      417      2
